  0%|          | 0/21560 [00:00<?, ?it/s]/mnt/fast/nobackup/users/yc01815/anaconda3/envs/llasa/lib/python3.9/site-packages/torch/utils/data/dataloader.py:557: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
                                                      
{'loss': 7.2118, 'grad_norm': 8.010608673095703, 'learning_rate': 3.7508467850397313e-06, 'epoch': 0.0}
{'loss': 7.0035, 'grad_norm': 5.388482570648193, 'learning_rate': 4.789655177777304e-06, 'epoch': 0.01}
{'loss': 6.8874, 'grad_norm': 4.960423469543457, 'learning_rate': 5.3973191329632005e-06, 'epoch': 0.01}
{'loss': 6.7511, 'grad_norm': 5.14902925491333, 'learning_rate': 5.828463570514877e-06, 'epoch': 0.02}
{'loss': 6.7135, 'grad_norm': 4.5920281410217285, 'learning_rate': 6.162885177341888e-06, 'epoch': 0.02}
{'loss': 6.6989, 'grad_norm': 5.002325534820557, 'learning_rate': 6.436127525700773e-06, 'epoch': 0.03}
{'loss': 6.6465, 'grad_norm': 4.911409378051758, 'learning_rate': 6.6671506394663065e-06, 'epoch': 0.03}
{'loss': 6.6149, 'grad_norm': 5.1271772384643555, 'learning_rate': 6.86727196325245e-06, 'epoch': 0.04}
{'loss': 6.5777, 'grad_norm': 5.390502452850342, 'learning_rate': 7.043791480886669e-06, 'epoch': 0.04}
{'loss': 6.5366, 'grad_norm': 5.6765570640563965, 'learning_rate': 7.201693570079462e-06, 'epoch': 0.05}
{'loss': 6.5075, 'grad_norm': 5.46453857421875, 'learning_rate': 7.344533384581883e-06, 'epoch': 0.05}
{'loss': 6.5101, 'grad_norm': 5.232554912567139, 'learning_rate': 7.474935918438347e-06, 'epoch': 0.06}
{'loss': 6.4845, 'grad_norm': 5.523791313171387, 'learning_rate': 7.5948946210641574e-06, 'epoch': 0.06}
{'loss': 6.4644, 'grad_norm': 4.948400020599365, 'learning_rate': 7.705959032203877e-06, 'epoch': 0.06}
{'loss': 6.4308, 'grad_norm': 5.496921539306641, 'learning_rate': 7.809357525265357e-06, 'epoch': 0.07}
{'loss': 6.4007, 'grad_norm': 5.421238899230957, 'learning_rate': 7.906080355990024e-06, 'epoch': 0.07}
{'loss': 6.3952, 'grad_norm': 5.4391374588012695, 'learning_rate': 7.996937489533552e-06, 'epoch': 0.08}
{'loss': 6.3714, 'grad_norm': 5.543653964996338, 'learning_rate': 8.082599873624242e-06, 'epoch': 0.08}
{'loss': 6.3943, 'grad_norm': 5.400464057922363, 'learning_rate': 8.163629537745779e-06, 'epoch': 0.09}
{'loss': 6.3598, 'grad_norm': 5.365876197814941, 'learning_rate': 8.240501962817033e-06, 'epoch': 0.09}
                                                 
{'eval_loss': 6.3740386962890625, 'eval_runtime': 24.3439, 'eval_samples_per_second': 41.078, 'eval_steps_per_second': 5.135, 'epoch': 0.09}
